

13:07:22.439349,18.25, 18.7, 22.5, 5000, 28, 60
13:07:24.439290,18.25, 18.7, 22.5, 5000, 28, 60
13:07:26.506824,18.3125, 18.7, 22.4, 5000, 28, 60
13:07:28.491139,18.25, 18.7, 22.4, 5000, 28, 60
13:07:30.491114,18.25, 18.7, 22.4, 5000, 28, 60
13:07:32.444179,18.25, 18.7, 22.4, 5000, 28, 60
13:07:34.444120,18.3125, 18.7, 22.3, 5000, 28, 60
13:07:36.444045,18.3125, 18.7, 22.3, 5000, 28, 60
13:10:10.506927,18.25, 18.8, 21.7, 5000, 28, 60
13:10:12.569368,18.25, 18.8, 21.7, 5000, 28, 60
13:10:20.622808,18.25, 18.8, 21.7, 5000, 28, 60
13:10:22.530773,18.25, 18.8, 21.7, 5000, 28, 60
13:10:24.563942,18.3125, 18.8, 21.7, 5000, 28, 60
13:10:34.526069,18.25, 18.8, 21.5, 5000, 28, 60
13:10:36.525980,18.3125, 18.8, 21.6, 5000, 28, 60
